Measure,Slot,VIBRA LEFT 1,VIBRA RIGHT 1,VIBRA LEFT 2,VIBRA RIGHT 2,VIBRA LEFT 3,VIBRA RIGHT 3,VIBRA LEFT 4,VIBRA RIGHT 4,VIBRA LEFT 5,VIBRA RIGHT 5,VIBRA LEFT 6,VIBRA RIGHT 6,VIBRA LEFT 7,VIBRA RIGHT 7,VIBRA LEFT 8,VIBRA RIGHT 8,VIBRA LEFT 9,VIBRA RIGHT 9,VIBRA LEFT 10,VIBRA RIGHT 10,VIBRA LEFT 11,VIBRA RIGHT 11,CYMBAL L,CYMBAL R,KICK L,KICK R,SNARE L,SNARE R,HIHAT L,HIHAT R,BASS L 1,BASS R 1,BASS L 2,BASS R 2,BASS L 3,BASS R 3,BASS L 4,BASS R 4
,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,
,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,165,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,NOTE HERE,,,,,,NOTE HERE,,,,,
,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,167,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,NOTE HERE,,,,,,,,
,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,169,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,NOTE HERE,,,,
,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,
,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,173,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,NOTE HERE,,,,,,,,,,
,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,
,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,177,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,NOTE HERE,NOTE HERE,,,,,,,,,,NOTE HERE,,,
,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,NOTE HERE,,
,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,181,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,NOTE HERE,,,,,,,,,,,
,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,183,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,NOTE HERE,,,,,,,,
,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,185,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,NOTE HERE,
,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,NOTE HERE
,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,189,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,NOTE HERE,,,,,,,,,,
,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,
,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,193,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,195,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,196,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,197,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,198,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,
,200,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,
BEAT,201,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,
,202,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,
,203,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,,,
,204,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,,,
BEAT,205,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,,,
,206,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,,,
,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,,,
,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,,,
BAR,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,,,
,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,,,
,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOTE HERE,
,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAR,225,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226,,,,NOTE HERE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
